"Abkhazian","abk"
"Sotho, Southern","sot"
"South American Indian (Other)","sai" 
"Southern Sami","sma"
"South Ndebele","nbl"
"Spanish","spa"
"Sukuma","suk"
"Sumerian","sux" 
"Sundanese","sun"
"Susu","sus" 
"Swahili","swa"
"Swati","ssw"
"Swedish","swe"
"Syriac","syr"
"Tagalog","tgl"
"Tahitian","tah"
"Tai (Other)","tai" 
"Tajik","tgk"
"Tamashek","tmh" 
"Tamil","tam"
"Tatar","tat"
"Telugu","tel"
"Tereno","ter" 
"Tetum","tet" 
"Thai","tha"
"Tibetan","tib"
"Tigre","tig" 
"Tigrinya","tir"
"Timne","tem" 
"Tiv","tiv" 
"Tlingit","tli" 
"Tok Pisin","tpi" 
"Tokelau","tkl" 
"Tonga (Nyasa)","tog" 
"Tonga (Tonga Islands)","ton"
"Tsimshian","tsi" 
"Tsonga","tso"
"Tswana","tsn"
"Tumbuka","tum" 
"Tupi languages","tup"
"Turkish","tur"
"Turkish, Ottoman (1500-1928)","ota" 
"Turkmen","tuk"
"Tuvalu","tvl"
"Tuvinian","tyv" 
"Twi","twi"
"Udmurt (udmUgaritic)","uga" 
"Uighur","uig"
"Ukrainian","ukr"
"Umbundu","umb" 
"Undetermined","und"
"Urdu","urd"
"Uzbek","uzb"
"Vai","vai"
"Venda","ven" 
"Vietnamese","vie"
"Volapük","vol"
"Votic","vot"
"Wakashan languages","wak" 
"Walamo","wal" 
"Walloon","wln"
"Waray","war"
"Washo","was" 
"Welsh","wel"
"Wolof","wol"
"Xhosa","xho"
"Yakut","sah" 
"Yao","yao" 
"Yapese","yap"
"Yiddish","yid"
"Yoruba","yor"
"Yupik languages","ypk" 
"Zande","znd" 
"Zapotec","zap" 
"Zenaga","zen" 
"Zhuang","zha"
"Zulu","zul"
"Zuni","zun"

